Valid parts are:
  m324p = ATMEGA324P      [D:\WinAVR-20100110\bin\avrdude.conf:3873]
  m164p = ATMEGA164P      [D:\WinAVR-20100110\bin\avrdude.conf:3682]
  m16  = ATMEGA16        [D:\WinAVR-20100110\bin\avrdude.conf:3504]
  c32  = AT90CAN32       [D:\WinAVR-20100110\bin\avrdude.conf:3313]
  c64  = AT90CAN64       [D:\WinAVR-20100110\bin\avrdude.conf:3123]
  c128 = AT90CAN128      [D:\WinAVR-20100110\bin\avrdude.conf:2933]
  m128 = ATMEGA128       [D:\WinAVR-20100110\bin\avrdude.conf:2755]
  m64  = ATMEGA64        [D:\WinAVR-20100110\bin\avrdude.conf:2574]
  m103 = ATMEGA103       [D:\WinAVR-20100110\bin\avrdude.conf:2434]
  8535 = AT90S8535       [D:\WinAVR-20100110\bin\avrdude.conf:2313]
  8515 = AT90S8515       [D:\WinAVR-20100110\bin\avrdude.conf:2199]
  4434 = AT90S4434       [D:\WinAVR-20100110\bin\avrdude.conf:2116]
  4433 = AT90S4433       [D:\WinAVR-20100110\bin\avrdude.conf:1992]
  2343 = AT90S2343       [D:\WinAVR-20100110\bin\avrdude.conf:1868]
  2333 = AT90S2333       [D:\WinAVR-20100110\bin\avrdude.conf:1740]
  2313 = AT90S2313       [D:\WinAVR-20100110\bin\avrdude.conf:1627]
  4414 = AT90S4414       [D:\WinAVR-20100110\bin\avrdude.conf:1514]
  1200 = AT90S1200       [D:\WinAVR-20100110\bin\avrdude.conf:1399]
  t15  = ATtiny15        [D:\WinAVR-20100110\bin\avrdude.conf:1266]
  t13  = ATtiny13        [D:\WinAVR-20100110\bin\avrdude.conf:1093]
  t12  = ATtiny12        [D:\WinAVR-20100110\bin\avrdude.conf:960]
  t11  = ATtiny11        [D:\WinAVR-20100110\bin\avrdude.conf:896]
